Item_id,item_name,item_price,item_combination,Attack,Mag,AttackSpeed,HPRegen,MPRegen,Def,MagDef,HP,MP,Speed,SkillAcc,DefPen,MagPen,Ten,Critical,LifeSteal
1,장화,300,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
2,신속의 장화,900,장화+600,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
3,명석함의 아이오니아 장화,950,장화+650,0,0,0,0,0,0,0,0,0,45,20,0,0,0,0,0
4,기동력의 장화,1000,장화+700,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
5,광전사의 군화,1100,장화+800,0,0,0.35,0,0,0,0,0,0,45,0,0,0,0,0,0
6,마법사의 신발,1100,장화+800,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
7,판금 장화,1100,장화+800,0,0,0,0,0,20,0,0,0,45,0,0,0,0,0,0
8,헤르메스의 발걸음,1100,장화+800,0,0,0,0,0,0,0,0,0,45,0,25,0,0.3,0,0
9,천갑옷,300,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
10,단검,300,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
11,사파이어 수정,350,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0
12,여신의눈물,400,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0
13,롱소드,350,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,루비수정,400,0,0,0,0,0,0,0,,150,0,0,0,0,0,0,0,0
15,증폭의 고서,435,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,민첩성의 망토,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0
17,광휘의 검,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,초시계,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,망가진 초시계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,방출의 마법봉,850,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,곡괭이,875,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,사라진 양피지,1300,증폭의 고서+ 증폭의 고서 + 사파이어 수정,0,40,0,0,0,0,0,300,0,0,10,0,0,0,0,0
23,점화석,800,루비수정+400,0,0,0,0,0,0,0,200,0,0,20,0,0,0,0,0.07
24,흡혈의 낫,900,롱소드 +550,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,온기가 필요한 자의 도끼,1000,단검+롱소드+350,15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
26,콜필드의 전투 망치,1100,롱소드+롱소드+400,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
27,톱날단검,1100,롱소드+롱소드+400,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,악마의 마법서,900,증폭의 고서+ 465,0,35,0,0,0,0,0,0,0,0,10,0,0,0,0,0
29,추적자의 팔목 보호대,1100,증폭의 고서+천갑옷+265,30,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
30,쇠사슬 조끼,800,천갑옷+500,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
31,비상의 월갑,800,루비수정+400,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0
32,덤불 조끼,800,천갑옷+천갑옷+200,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
33,거인의 허리띠 ,900,루비수정+500,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0
34,마나무네,2900,여신의눈물+콜필드의 전투망치+롱소드+1050,35,0,0,0,0,0,0,0,500,0,15,0,0,0,0,0
35,무라마나,0,마나무네 스텍 360,35,0,0,0,0,0,0,0,860,0,15,0,0,0,0,0
36,정수 약탈자,2800,콜필드의전투망치+광휘의검+민첩성의 망토+300,45,0,0,0,0,0,0,0,0,0,20,0,0,0,0.2,0
37,징수의 총,3000,톱날단검+곡괭이+민첩성의 망토+425,55,0,0,0,0,0,0,0,0,0,0,12,0,0,0.2,0
38,대천사의 지팡이,2600,여신의 눈물+점화석+방출의 마법봉+550,0,60,0,0,0,0,0,200,500,0,0,0,0,0,0,0
39,대천사의 포옹,0,대천사의 지팡이 스텍 360,0,80,0,0,0,0,0,250,860,0,0,0,0,0,0,0
40,존야의 모래시계,3000,추적자의 팔목 보호대+(망가진)초시계+악마의 마법서+350,0,80,0,0,0,45,0,0,0,0,15,0,0,0,0,0
41,가시갑옷 ,2700,덤불 조끼 +거인의 허리띠+1000,0,0,0,0,0,60,0,350,0,0,0,0,0,0,0,0
42,망자의 갑옷,2900,비상의 월갑+루비수정+쇠사슬 조끼+900,0,0,0,0,0,45,0,300,0,0.05,0,0,0,0,0,0
43,신성한 파괴자,3300,콜필드의 전투 망치+광휘의 검+점화석+700,40,0,0,0,0,0,0,300,0,0,20,0,0,0,0,0
44,삼위일체,3333,광휘의 검+온기가 필요한 자의 도끼 +점화석+833,35,0,0.3,0,0,0,0,300,0,0,20,0,0,0,0,0
45,월식,3100,톱날단검+롱소드+흡혈의 낫+750,60,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0.07
46,루덴의 폭풍,3200,사라진 양피지+방출의 마법봉+1050,0,80,0,0,0,0,0,0,600,0,20,0,6,0,0,0
