Item_id,item_name,item_price,item_combination,Attack,Mag,AttackSpeed,HPRegen,MPRegen,Def,MagDef,HP,MP,Speed,SkillAcc,DefPen,MagPen,Ten,Critical,LifeSteal
1,장화,300,0,,,,,,,,,,25,,,,,,
2,신속의 장화,900,장화+600,,,,,,,,,,60,,,,,,
3,명석함의 아이오니아 장화,950,장화+650,,,,,,,,,,45,20,,,,,
4,기동력의 장화,1000,장화+700,,,,,,,,,,25,,,,,,
5,광전사의 군화,1100,장화+800,,,0.35,,,,,,,45,,,,,,
6,마법사의 신발,1100,장화+800,,,,,,,,,,,,18,,,,
7,판금 장화,1100,장화+800,,,,,,20,,,,45,,,,,,
8,헤르메스의 발걸음,1100,장화+800,,,,,,,,,,45,,25,,0.3,,
9,천갑옷,300,0,,,,,,15,,,,,,,,,,
10,단검,300,0,,,0.12,,,,,,,,,,,,,
11,사파이어 수정,350,0,,,,,,,,,250,,,,,,,
12,여신의눈물,400,0,,,,,,,,,240,,,,,,,
13,롱소드,350,0,10,,,,,,,,,,,,,,,
14,루비수정,400,0,,,,,,,,150,,,,,,,,
15,증폭의 고서,435,0,,20,,,,,,,,,,,,,,
16,민첩성의 망토,600,0,,,,,,,,,,,,,,,0.15,
17,광휘의 검,700,0,,,,,,,,,,,,,,,,
18,초시계,750,0,,,,,,,,,,,,,,,,
19,망가진 초시계,0,0,,,,,,,,,,,,,,,,
20,방출의 마법봉,850,0,,40,,,,,,,,,,,,,,
21,곡괭이,875,0,25,,,,,,,,,,,,,,,
22,사라진 양피지,1300,증폭의 고서+ 증폭의 고서 + 사파이어 수정,,40,,,,,,300,,,10,,,,,
23,점화석,800,루비수정+400,,,,,,,,200,,,20,,,,,0.07
24,흡혈의 낫,900,롱소드 +550,15,,,,,,,,,,,,,,,
25,온기가 필요한 자의 도끼,1000,단검+롱소드+350,15,,0.15,,,,,,,,,,,,,
26,콜필드의 전투 망치,1100,롱소드+롱소드+400,25,,,,,,,,,,10,,,,,
27,톱날단검,1100,롱소드+롱소드+400,30,,,,,,,,,,,,,,,
28,악마의 마법서,900,증폭의 고서+ 465,,35,,,,,,,,,10,,,,,
29,추적자의 팔목 보호대,1100,증폭의 고서+천갑옷+265,30,,,,,15,,,,,,,,,,
30,쇠사슬 조끼,800,천갑옷+500,,,,,,40,,,,,,,,,,
31,비상의 월갑,800,루비수정+400,,,,,,,,150,,,,,,,,
32,덤불 조끼,800,천갑옷+천갑옷+200,,,,,,30,,,,,,,,,,
33,거인의 허리띠 ,900,루비수정+500,,,,,,,,350,,,,,,,,
34,마나무네,2900,여신의눈물+콜필드의 전투망치+롱소드+1050,35,,,,,,,,500,,15,,,,,
35,무라마나,0,마나무네 스텍 360,35,,,,,,,,860,,15,,,,,
36,정수 약탈자,2800,콜필드의전투망치+광휘의검+민첩성의 망토+300,45,,,,,,,,,,20,,,,0.2,
37,징수의 총,3000,톱날단검+곡괭이+민첩성의 망토+425,55,,,,,,,,,,,12,,,0.2,
38,대천사의 지팡이,2600,여신의 눈물+점화석+방출의 마법봉+550,,60,,,,,,200,500,,,,,,,
39,대천사의 포옹,0,대천사의 지팡이 스텍 360,,80,,,,,,250,860,,,,,,,
40,존야의 모래시계,3000,추적자의 팔목 보호대+(망가진)초시계+악마의 마법서+350,,80,,,,45,,,,,15,,,,,
41,가시갑옷 ,2700,덤불 조끼 +거인의 허리띠+1000,,,,,,60,,350,,,,,,,,
42,망자의 갑옷,2900,비상의 월갑+루비수정+쇠사슬 조끼+900,,,,,,45,,300,,0.05,,,,,,
43,신성한 파괴자,3300,콜필드의 전투 망치+광휘의 검+점화석+700,40,,,,,,,300,,,20,,,,,
44,삼위일체,3333,광휘의 검+온기가 필요한 자의 도끼 +점화석+833,35,,0.3,,,,,300,,,20,,,,,
45,월식,3100,톱날단검+롱소드+흡혈의 낫+750,60,,,,,,,,,,,12,,,,0.07
46,루덴의 폭풍,3200,사라진 양피지+방출의 마법봉+1050,,80,,,,,,,600,,20,,6,,,
